Link;Members;Daily Joined;Daily Left;Weekly Joined;Weekly Left;Monthly Joined;Monthly Left
http://instagram.com/jaguarrussia;40170;22;0;252;0;2479;0
http://instagram.com/volkswagenrus;33556;52;0;708;0;2488;0
http://instagram.com/volvocarsrus;27239;9;0;113;0;784;0
http://instagram.com/hyundairussia;19191;28;0;305;0;1091;0
http://instagram.com/renaultru;14399;0;5;47;5;183;11
http://facebook.com/PhilipsRussia;9495678;1090;0;14392;0;76431;0
http://facebook.com/bekorussia;5830633;1130;0;12953;0;42592;0
http://facebook.com/BoschHomeRussia;2754557;769;0;6327;0;27541;0
http://facebook.com/SiemensHomeRussia;1168346;84;0;1374;0;4859;0
http://facebook.com/LiebherrHolodilniki;270312;319;0;1991;0;7270;0
http://facebook.com/SmegRussia;268922;351;0;2100;0;4748;0
http://vk.com/multipro;164718;23;36;264;299;1043;1398
http://vk.com/philips;91956;20;17;123;121;664;596
http://vk.com/indesitrussia;83871;1;15;8;90;47;467
http://instagram.com/redmond_multicookers;78936;1308;0;2138;0;4800;1225
http://vk.com/bekorussia;56543;4;8;26;79;247;395
http://facebook.com/HaierRussia;51561;1;0;4;11;12;49
http://ok.ru/multivarkapro;46770;3;0;10;8;31;28
http://instagram.com/bork_com;45349;231;0;726;0;3701;0
http://vk.com/haierrussia;45224;14;5;111;32;290;168
http://instagram.com/philipsrussia;42681;35;0;576;0;3635;0
http://instagram.com/bekorussia;37109;0;5;0;134;0;567
http://facebook.com/BORKrus;32052;12;0;86;0;362;0
http://vk.com/midearussia;29191;2;8;16;58;177;249
http://ok.ru/boschhomerussia;25832;0;3;1;14;16;32
http://ok.ru/midearu;24250;0;2;0;16;220;62
http://facebook.com/MideaRu;21115;0;3;1;19;290;38
http://instagram.com/midea_rus;20582;4;0;261;7;865;44
http://instagram.com/smegrussia;15650;14;0;141;2;726;27
http://vk.com/boschhomerussia;14198;3;1;20;20;83;93
http://ok.ru/bekorussia;12512;0;3;11;8;243;20
http://vk.com/borkrus;11261;0;2;20;14;90;54
http://instagram.com/boschhomeru;10691;61;0;362;0;856;0
http://facebook.com/redmond.official;10664;2;0;8;3;33;15
http://ok.ru/bork;4744;0;0;0;2;1;9
http://instagram.com/siemenshomeru;2575;17;0;135;0;180;22
http://facebook.com/neffrussia;2394;0;2;2;4;13;6
http://instagram.com/neffrussia;2331;4;0;19;6;101;28
http://facebook.com/JackDanielsRussia;16953530;1612;0;2446;1395;54444;4312
http://facebook.com/JohnnieWalkerRussia;14719701;393;0;18009;0;47236;394
http://facebook.com/BacardiRussia;9496602;0;441;0;4174;163;19382
http://facebook.com/ABSOLUTRussia;7812728;546;0;3318;643;9207;2173
http://facebook.com/jagermeisterRU;5573324;16;0;734;378;3660;950
http://facebook.com/ChivasRegalRussia;5389240;682;0;6164;0;31175;0
http://facebook.com/BallantinesRussia;4440779;878;0;10409;0;40503;0
http://facebook.com/Jameson.Russia;3921594;661;0;7273;0;30319;0
http://facebook.com/HennessyRussia;3611860;3;0;5948;312;22207;658
http://facebook.com/glenfiddichRU;1268199;774;0;2841;0;4467;222
http://facebook.com/BushmillsIrishWhiskeyRussia;640186;99;0;525;0;1916;0
http://facebook.com/GlenmorangieRussia;404209;103;0;118;117;123;433
http://facebook.com/JimBeamRussia;15786;2;0;6;6;16;22
http://instagram.com/glenmorangie_ru;6794;0;2;4;22;21;72
http://vk.com/kiss_club;56406;75;27;310;160;1918;1218
http://vk.com/womenacademy;51470;55;9;178;36;431;155
http://instagram.com/womanacademia;16315;0;6;31;28;156;62
http://vk.com/cornetto;50958;1;7;4;60;11;266
http://instagram.com/rittersportru;26912;28;0;295;40;649;70
http://instagram.com/cornettoru;1316;2;0;2;6;4;29
http://vk.com/domru_ru;211036;97;67;580;437;4375;2454
http://ok.ru/domru.ru;21302;0;0;10;5;80;12
http://facebook.com/domru.ru;11876;0;0;10;4;41;12
http://twitter.com/domru_;3829;0;0;6;3;35;8
http://vk.com/tv_dedmoroz;426;0;0;0;0;0;4
http://ok.ru/herbalifeofficial;79887;11;0;128;0;850;0
http://vk.com/herbalifeofficial;72595;61;23;422;156;3004;820
http://instagram.com/herbalife_rsm;57216;37;0;865;0;3284;0
http://facebook.com/HerbalifeRSM;38142;6;0;36;0;571;0
http://facebook.com/herbalifeactive;7393;0;0;1;3;19;8
http://vk.com/herbalifeactive;7336;2;1;13;12;78;55
